432	1
532	2
542	3
543	4
632	5
642	6
643	7
652	8
653	9
654	10
732	11
742	12
743	13
752	14
753	15
754	16
762	17
763	18
764	19
765	20
832	21
842	22
843	23
852	24
853	25
854	26
862	27
863	28
864	29
865	30
872	31
873	32
874	33
875	34
876	35
932	36
942	37
943	38
952	39
953	40
954	41
962	42
963	43
964	44
965	45
972	46
973	47
974	48
975	49
976	50
982	51
983	52
984	53
985	54
986	55
987	56
032	57
042	58
043	59
052	60
053	61
054	62
062	63
063	64
064	65
065	66
072	67
073	68
074	69
075	70
076	71
082	72
083	73
084	74
085	75
086	76
087	77
092	78
093	79
094	80
095	81
096	82
097	83
098	84
J32	85
J42	86
J43	87
J52	88
J53	89
J54	90
J62	91
J63	92
J64	93
J65	94
J72	95
J73	96
J74	97
J75	98
J76	99
J82	100
J83	101
J84	102
J85	103
J86	104
J87	105
J92	106
J93	107
J94	108
J95	109
J96	110
J97	111
J98	112
J02	113
J03	114
J04	115
J05	116
J06	117
J07	118
J08	119
J09	120
Q32	121
Q42	122
Q43	123
Q52	124
Q53	125
Q54	126
Q62	127
Q63	128
Q64	129
Q65	130
Q72	131
Q73	132
Q74	133
Q75	134
Q76	135
Q82	136
Q83	137
Q84	138
Q85	139
Q86	140
Q87	141
Q92	142
Q93	143
Q94	144
Q95	145
Q96	146
Q97	147
Q98	148
Q02	149
Q03	150
Q04	151
Q05	152
Q06	153
Q07	154
Q08	155
Q09	156
QJ2	157
QJ3	158
QJ4	159
QJ5	160
QJ6	161
QJ7	162
QJ8	163
QJ9	164
QJ0	165
K32	166
K42	167
K43	168
K52	169
K53	170
K54	171
K62	172
K63	173
K64	174
K65	175
K72	176
K73	177
K74	178
K75	179
K76	180
K82	181
K83	182
K84	183
K85	184
K86	185
K87	186
K92	187
K93	188
K94	189
K95	190
K96	191
K97	192
K98	193
K02	194
K03	195
K04	196
K05	197
K06	198
K07	199
K08	200
K09	201
KJ2	202
KJ3	203
KJ4	204
KJ5	205
KJ6	206
KJ7	207
KJ8	208
KJ9	209
KJ0	210
KQ2	211
KQ3	212
KQ4	213
KQ5	214
KQ6	215
KQ7	216
KQ8	217
KQ9	218
KQ0	219
KQJ	220
132	221
142	222
143	223
152	224
153	225
154	226
162	227
163	228
164	229
165	230
172	231
173	232
174	233
175	234
176	235
182	236
183	237
184	238
185	239
186	240
187	241
192	242
193	243
194	244
195	245
196	246
197	247
198	248
102	249
103	250
104	251
105	252
106	253
107	254
108	255
109	256
1J2	257
1J3	258
1J4	259
1J5	260
1J6	261
1J7	262
1J8	263
1J9	264
1J0	265
1Q2	266
1Q3	267
1Q4	268
1Q5	269
1Q6	270
1Q7	271
1Q8	272
1Q9	273
1Q0	274
1QJ	275
1K2	276
1K3	277
1K4	278
1K5	279
1K6	280
1K7	281
1K8	282
1K9	283
1K0	284
1KJ	285
1KQ	286
